00:00:24:800,Dennis Dotterweich,19.479,-13.528001,0.036000002,13.349455,0.0363,-0.9989,0.0276, 735.9279,0.13419999,-0.99069995,0.0222
00:00:24:801,Dennis Dotterweich,19.481,-13.540001,0.042000003,14.523091,0.057499997,-0.9975,0.040799998, 795.21014,0.1548,-0.98759997,0.025799999
00:00:24:802,Dennis Dotterweich,19.483002,-13.55,0.05,15.366957,0.0749,-0.99549997,0.0572, 829.02124,0.17359999,-0.98429996,0.0309
00:00:24:802,Dennis Dotterweich,19.484001,-13.558001,0.055000003,15.942707,0.0881,-0.9939,0.0652, 841.75726,0.18859999,-0.98139995,0.0336
00:00:24:803,Dennis Dotterweich,19.485,-13.565001,0.062000003,16.348543,0.0936,-0.99259996,0.076299995, 841.04584,0.1933,-0.98039997,0.037699997
00:00:24:803,Dennis Dotterweich,19.485,-13.5720005,0.07,16.720339,0.094,-0.99149996,0.0898, 837.1383,0.19029999,-0.98069996,0.042799998
00:00:24:804,Dennis Dotterweich,19.485,-13.580001,0.076000005,17.161469,0.0903,-0.9912,0.0963, 837.4304,0.1801,-0.98249996,0.045599997
00:00:24:804,Dennis Dotterweich,19.485,-13.589001,0.080000006,17.65997,0.083399996,-0.9914,0.1007, 841.34467,0.16409999,-0.9852,0.047599997
00:00:24:805,Dennis Dotterweich,19.485,-13.598001,0.083000004,18.121832,0.080699995,-0.9913,0.1038, 843.10956,0.1558,-0.98649997,0.0493
00:00:24:805,Dennis Dotterweich,19.485,-13.610001,0.086,18.880297,0.0669,-0.9923,0.1034, 864.69214,0.1265,-0.99069995,0.0492
00:00:24:806,Dennis Dotterweich,19.484001,-13.621,0.08800001,19.555449,0.057,-0.993,0.103199996, 880.2359,0.105,-0.9932,0.049399998
00:00:24:806,Dennis Dotterweich,19.483002,-13.633,0.08800001,20.281155,0.0473,-0.9942,0.0962, 898.92706,0.084199995,-0.9953,0.046699997
00:00:24:807,Dennis Dotterweich,19.483002,-13.646001,0.087000005,20.980928,0.0401,-0.9949,0.091699995, 915.37646,0.0685,-0.9966,0.044999998
00:00:24:807,Dennis Dotterweich,19.483002,-13.656001,0.091000006,21.44294,0.0389,-0.99469995,0.0946, 914.9138,0.0651,-0.9967,0.0466
00:00:24:808,Dennis Dotterweich,19.482,-13.667001,0.095000006,21.846611,0.033999998,-0.9945,0.098799996, 910.0667,0.0546,-0.99729997,0.048899997
00:00:24:808,Dennis Dotterweich,19.482,-13.677001,0.097,22.194532,0.033099998,-0.9945,0.0991, 901.6758,0.051999997,-0.9974,0.0497
00:00:24:809,Dennis Dotterweich,19.484001,-13.686001,0.101,22.403969,0.039899997,-0.99369997,0.103999995, 884.4317,0.0654,-0.9964,0.052699998
00:00:24:809,Dennis Dotterweich,19.485,-13.695001,0.10700001,22.576221,0.049999997,-0.99259996,0.1105, 865.6236,0.0861,-0.9946,0.056599997
00:00:24:810,Dennis Dotterweich,19.488,-13.702001,0.115,22.667078,0.0679,-0.9903,0.1205, 843.03705,0.1244,-0.9902,0.0625
00:00:24:810,Dennis Dotterweich,19.490002,-13.713,0.117000006,23.00992,0.0765,-0.9898,0.1196, 838.11725,0.1413,-0.98789996,0.0626
00:00:24:811,Dennis Dotterweich,19.492,-13.723001,0.119,23.259993,0.0866,-0.98889995,0.12019999, 827.2298,0.1621,-0.98469996,0.0637
00:00:24:811,Dennis Dotterweich,19.494001,-13.732,0.125,23.385923,0.1008,-0.9867,0.12709999, 809.0781,0.19309999,-0.9787,0.068399996
00:00:24:812,Dennis Dotterweich,19.496,-13.742001,0.128,23.627949,0.1047,-0.98609996,0.1284, 797.5421,0.19929999,-0.9774,0.07
00:00:24:812,Dennis Dotterweich,19.497002,-13.753,0.12900001,23.793888,0.105399996,-0.9862,0.1273, 780.27637,0.19829999,-0.97749996,0.0705
00:00:24:813,Dennis Dotterweich,19.497002,-13.7630005,0.133,23.92898,0.1024,-0.98609996,0.1301, 760.4684,0.1883,-0.97929996,0.0734
00:00:24:813,Dennis Dotterweich,19.497002,-13.774001,0.136,24.102987,0.095699996,-0.9866,0.1318, 743.4343,0.1686,-0.9827,0.0757
00:00:24:814,Dennis Dotterweich,19.496,-13.784,0.14,24.210274,0.0841,-0.9873,0.13409999, 721.61743,0.13509999,-0.98759997,0.0787
00:00:24:814,Dennis Dotterweich,19.495,-13.795001,0.14400001,24.28652,0.0722,-0.9878,0.1374, 698.97296,0.100099996,-0.99149996,0.0824
